Rank,Name,8-Year Graduation Rate,Number of Pell Graduates,Pell Performance Rank,Earnings Performance Rank,Net Price of Attendance for Families Below $75k Income,Social Mobility Rank,Research Rank,Service Rank,Admission Rate,Enrollment,Share of White Students,In-State Tuition Fee,Out-of-State Tuition Fee,Median Earnings of Students,Note: 
62,Rutgers Univ.–New Brunswick (NJ)*,82%,2245,67,414,14089,111,53,42,0.6816,35827.0,0.3402,15804.0,33005.0,69748.0,
63,University of California–Irvine (CA)*,87%,2854,33,368,8894,37,41,408,0.2882,29438.0,0.133,13775.0,43529.0,76593.0,
64,University of CA–Riverside (CA)*,79%,2403,7,413,9335,49,60,303,0.8769,2861.0,0.3862,6068.0,6068.0,50616.0,
65,California State Univ.–Fullerton (CA)*,78%,3227,106,260,4809,16,326,363,0.5943,35502.0,0.1633,6976.0,18856.0,58585.0,
66,San Francisco State University (CA)*,68%,2498,201,83,12018,31,223,229,0.9292,22563.0,0.1568,7304.0,19184.0,64797.0,
67,University of CA–Santa Barbara (CA)*,85%,1948,49,345,11912,69,49,252,0.2918,23081.0,0.3186,14417.0,44171.0,70326.0,
68,Ohio State University–Main (OH)*,78%,2239,111,422,10324,138,28,132,,58.0,0.6724,8200.0,8200.0,36605.0,
69,William & Mary (VA)*,92%,190,266,396,7227,100,86,41,0.3654,6521.0,0.5898,23812.0,47038.0,69897.0,
70,Washington State University (WA)*,65%,1747,348,16,8977,59,92,199,0.961,13933.0,0.6823,8703.0,25930.0,59142.0,
71,University of NC–Greensboro (NC)*,58%,1297,17,105,9673,45,183,202,0.684,2384.0,0.6393,42206.0,42206.0,57787.0,
72,Indiana University–Bloomington (IN)*,79%,1176,249,181,7915,92,67,116,0.8504,33995.0,0.6879,11333.0,38352.0,61279.0,
73,Winston-Salem State University (NC)*,63%,499,23,110,11752,24,393,296,0.8147,4581.0,0.0659,6247.0,16903.0,40976.0,
74,Michigan Technological Univ. (MI)*,71%,250,206,68,9608,96,57,139,0.8575,5701.0,0.8602,16966.0,38112.0,77293.0,
75,James Madison University (VA)*,83%,617,419,69,16353,91,239,22,0.8625,19743.0,0.7538,12638.0,29564.0,65172.0,
76,Sam Houston State University (TX)*,60%,1284,162,33,12250,40,336,173,0.9658,18288.0,0.4764,8960.0,18752.0,52250.0,
77,Boston University (MA),87%,584,303,311,13865,139,52,45,0.1865,17501.0,0.3434,59816.0,59816.0,80582.0,
78,GA Institute of Tech.–Main (GA)*,89%,635,323,202,11551,110,18,354,,123.0,0.0163,13152.0,13152.0,28691.0,
79,Texas A&M–College Station (TX)*,83%,2137,262,198,13941,87,50,210,,,,,,,No data found
80,University of MD–College Park (MD)*,82%,1351,131,343,11725,114,37,207,,,,,,,No data found
81,Montclair State University (NJ)*,70%,1334,64,62,13222,38,271,237,0.9061,15993.0,0.4021,13298.0,21418.0,57008.0,
82,Iowa State University (IA)*,74%,1249,245,210,11618,145,55,48,0.9112,25537.0,0.7706,9634.0,25446.0,60973.0,
83,University of Connecticut (CT)*,84%,713,225,95,15900,94,68,158,0.7483,7616.0,0.5714,11542.0,24946.0,56799.0,
84,University of Rochester (NY),88%,251,198,403,18212,196,25,102,0.9809,842.0,0.6496,25462.0,25462.0,47021.0,
85,North Carolina State Univ. (NC)*,81%,1100,176,420,10053,156,44,99,0.4748,24999.0,0.6837,9131.0,29916.0,65211.0,
86,East Carolina University (NC)*,67%,1403,289,100,13072,81,226,66,0.9389,21231.0,0.6441,7297.0,23574.0,50819.0,
87,University of Texas–Austin (TX)*,82%,2234,190,407,13949,198,29,98,0.2875,40506.0,0.3503,11752.0,40996.0,72713.0,
88,New Jersey Institute of Tech. (NJ)*,80%,2149,14,130,14256,28,128,410,0.6914,8377.0,0.3294,18016.0,34034.0,84495.0,
89,Rutgers University–Camden (NJ)*,69%,504,77,21,10795,32,374,322,0.787,4747.0,0.4049,15657.0,32299.0,69748.0,
90,University of MA–Amherst (MA)*,79%,1196,243,338,12503,121,66,113,0.803,563.0,0.8419,18050.0,18050.0,45876.0,
91,George Mason University (VA)*,74%,1469,73,134,16315,54,126,277,0.913,26339.0,0.3558,13119.0,36579.0,69958.0,
92,University of Texas–Arlington (TX)*,58%,2176,116,179,13566,71,140,191,0.927,32658.0,0.2783,11727.0,29299.0,57994.0,
93,University of Georgia (GA)*,86%,1540,203,360,11272,112,69,146,0.3636,913.0,0.2442,17488.0,17488.0,45217.0,
94,San Diego State University (CA)*,79%,2421,359,373,7772,76,184,172,,,,6084.0,17964.0,61522.0,
95,Rice University (TX),93%,159,98,385,5193,97,42,356,0.0948,4240.0,0.2965,52895.0,52895.0,87254.0,
96,University of Arizona (AZ)*,64%,2042,72,162,11925,101,76,221,0.8727,36560.0,0.4963,12736.0,37258.0,59805.0,
97,University of Delaware (DE)*,81%,534,394,64,14244,126,96,89,0.5884,4179.0,0.1007,8358.0,18280.0,44793.0,
98,University of Montana (MT)*,45%,404,107,305,13377,354,159,1,0.3333,1283.0,0.8137,5726.0,17190.0,41931.0,
99,Tufts University (MA),94%,146,315,438,10718,210,65,16,0.1143,6628.0,0.478,63000.0,63000.0,74430.0,
100,Georgia State University (GA)*,56%,2492,5,404,15216,85,139,186,0.8558,2018.0,0.5595,5464.0,16186.0,44541.0,
101,Colorado School of Mines (CO)*,79%,147,244,29,18401,109,80,192,0.5688,5440.0,0.6895,19538.0,40838.0,95887.0,
102,University of San Diego (CA),81%,223,400,187,21938,220,219,5,0.342,33339.0,0.1897,14700.0,44454.0,82255.0,
103,University of Iowa (IA)*,71%,849,220,119,15693,180,61,53,0.8621,21198.0,0.7433,9942.0,31905.0,62670.0,
104,Marquette University (WI),82%,281,108,48,20735,108,178,81,0.8626,7466.0,0.681,45766.0,45766.0,76417.0,
105,New York University (NY),85%,1301,156,293,26426,255,40,36,0.4614,6142.0,0.5861,8523.0,18433.0,54978.0,
106,Illinois State University (IL)*,72%,1005,342,17,15702,99,259,100,0.9154,17632.0,0.7016,15319.0,26843.0,58781.0,
